Entity,Year,Annual CO₂ emissions (per capita)
Turkmenistan,1866,4.128.814
Tuvalu,1866,0
Ukraine,1866,31.246.852
United Kingdom,1866,6.974.182
United States,1866,16.266.301
Upper-middle-income countries,1866,4.397.009
Uzbekistan,1866,24.639.497
World,1866,33.789.563
Africa,1867,0
Andorra,1867,0
Armenia,1867,109.693.725
Asia,1867,7.856.082
Asia (excl. China and India),1867,32.061.203
Australia,1867,7.646.648
Austria,1867,1.108.091
Azerbaijan,1867,30.322.798
Belarus,1867,2.420.849
Belgium,1867,4.462.679
Bhutan,1867,0
Brunei,1867,0
Canada,1867,43.906.397
Cote d'Ivoire,1867,0
Czechia,1867,45.669.645
Denmark,1867,5.007.911
Estonia,1867,54.378.394
Europe,1867,12.821.474
Europe (excl. EU-27),1867,20.182.788
Europe (excl. EU-28),1867,50.103.236
European Union (27),1867,8.859.069
European Union (28),1867,16.977.528
Finland,1867,3.562.215
France,1867,1.431.795
Georgia,1867,7.889.228
Germany,1867,17.929.425
Greece,1867,47.250.953
Guinea,1867,0
High-income countries,1867,14.340.045
Hungary,1867,29.164.192
Italy,1867,53.961.847
Kazakhstan,1867,6.737.675
Kyrgyzstan,1867,22.265.544
Latvia,1867,16.566.332
Lithuania,1867,21.106.437
Low-income countries,1867,0
Lower-middle-income countries,1867,17.765.176
Mauritania,1867,0
Moldova,1867,29.749.347
Netherlands,1867,1.148.679
North America,1867,13.239.058
North America (excl. USA),1867,8.396.809
Norway,1867,3.654.634
Oceania,1867,40.700.552
Papua New Guinea,1867,0
Poland,1867,8.243.138
Romania,1867,24.453.045
Russia,1867,4.012.984
Sierra Leone,1867,0
Singapore,1867,0
Slovakia,1867,43.708.503
Spain,1867,15.952.717
Sweden,1867,255.311
Switzerland,1867,2.583.718
Tajikistan,1867,14.479.723
Turkey,1867,19.517.299
Turkmenistan,1867,46.954.688
Tuvalu,1867,0
Ukraine,1867,35.527.296
United Kingdom,1867,71.007.743
United States,1867,19.555.545
Upper-middle-income countries,1867,50.281.873
Uzbekistan,1867,28.027.875
World,1867,360.665
Africa,1868,0
Andorra,1868,0
Armenia,1868,9.043.256
Asia,1868,65.082.824
Asia (excl. China and India),1868,26.389.908
Australia,1868,9.180.503
Austria,1868,13.602.931
Azerbaijan,1868,24.969.315
Belarus,1868,19.950.269
Belgium,1868,4.005.761
Bhutan,1868,0
Brunei,1868,0
Canada,1868,2.575.183
Cote d'Ivoire,1868,0
Czechia,1868,51.531.786
Denmark,1868,58.659.893
Estonia,1868,44.701.405
Europe,1868,12.868.912
Europe (excl. EU-27),1868,19.604.234
Europe (excl. EU-28),1868,45.428.526
European Union (27),1868,9.235.359
European Union (28),1868,17.065.445
Finland,1868,50.245.065
France,1868,14.608.666
Georgia,1868,65.045.343
Germany,1868,19.109.488
Greece,1868,23.405.904
Guinea,1868,0
High-income countries,1868,14.639.492
Hungary,1868,30.977.884
Italy,1868,6.190.334
Japan,1868,3.208.706
Kazakhstan,1868,5.556.699
Kyrgyzstan,1868,18.356.793
Latvia,1868,13.562.797
Lithuania,1868,17.303.988
Low-income countries,1868,0
Lower-middle-income countries,1868,1.470.833
Mauritania,1868,0
Moldova,1868,24.524.525
Netherlands,1868,11.948.302
North America,1868,14.551.185
North America (excl. USA),1868,4.944.949
Norway,1868,37.097.478
Oceania,1868,49.171.588
Papua New Guinea,1868,0
Poland,1868,92.566.586
Romania,1868,28.333.457
Russia,1868,33.086.613
Sierra Leone,1868,0
Singapore,1868,0
Slovakia,1868,49.418.092
Spain,1868,16.534.485
Sweden,1868,29.875.615
Switzerland,1868,29.323.864
Tajikistan,1868,1.194.034
Turkey,1868,15.065.892
Turkmenistan,1868,38.710.948
Tuvalu,1868,0
Ukraine,1868,29.284.596
United Kingdom,1868,6.907.395
United States,1868,21.599.026
Upper-middle-income countries,1868,4.162.977
Uzbekistan,1868,23.113.634
World,1868,36.957.112
Africa,1869,0
Andorra,1869,0
Armenia,1869,12.153.969
Asia,1869,92.203.176
Asia (excl. China and India),1869,37.173.673
Australia,1869,8.539.451
Austria,1869,1.442.899
Azerbaijan,1869,33.524.603
Belarus,1869,26.806.984
Belgium,1869,42.827.497
Bhutan,1869,0
Brunei,1869,0
Canada,1869,18.445.463
Cote d'Ivoire,1869,0
Czechia,1869,5.732.674
Denmark,1869,5.059.297
Estonia,1869,5.991.679
Europe,1869,13.378.711
Europe (excl. EU-27),1869,20.435.839
Europe (excl. EU-28),1869,53.549.517
European Union (27),1869,956.312
European Union (28),1869,17.728.671
Finland,1869,3.962.551
France,1869,14.943.383
Georgia,1869,8.743.971
Germany,1869,19.752.913
Greece,1869,53.423.245
Guinea,1869,0
High-income countries,1869,15.389.042
Hungary,1869,3.346.043
Italy,1869,67.893.706
Japan,1869,5.324.431
Kazakhstan,1869,7.472.109
Kyrgyzstan,1869,24.675.434
Latvia,1869,1.810.565
Lithuania,1869,23.130.734
Low-income countries,1869,0
Lower-middle-income countries,1869,19.862.934
Mauritania,1869,0
Moldova,1869,3.296.354
Netherlands,1869,12.209.758
North America,1869,16.193.863
North America (excl. USA),1869,35.548.933
Norway,1869,32.096.925
Oceania,1869,4.598.899
Papua New Guinea,1869,0
Poland,1869,94.349.986
Romania,1869,28.144.026
Russia,1869,4.447.931
Sierra Leone,1869,0
Singapore,1869,0
Slovakia,1869,55.085.874
Spain,1869,16.338.804
Sweden,1869,26.335.457
Switzerland,1869,28.182.352
Tajikistan,1869,16.052.764
Turkey,1869,22.832.401
Turkmenistan,1869,52.038.316
Tuvalu,1869,0
Ukraine,1869,39.358.314
United Kingdom,1869,7.185.026
United States,1869,2.401.964
Upper-middle-income countries,1869,57.036.355
Uzbekistan,1869,3.107.908
World,1869,3.909.979
Africa,1870,0
Andorra,1870,0
Armenia,1870,13.067.919
Asia,1870,83.380.425
Asia (excl. China and India),1870,3.344.789
Australia,1870,7.968.973
Austria,1870,16.263.044
Azerbaijan,1870,36.007.486
Belarus,1870,28.815.717
Belgium,1870,48.579.187
Bhutan,1870,0
Brunei,1870,0
Canada,1870,32.536.218
Cote d'Ivoire,1870,0
Czechia,1870,63.055.074
Denmark,1870,6.055.265
Estonia,1870,6.424.673
Europe,1870,13.468.962
Europe (excl. EU-27),1870,20.724.025
Europe (excl. EU-28),1870,59.082.247
European Union (27),1870,9.537.491
European Union (28),1870,17.839.264
Finland,1870,51.787.194
France,1870,13.234.235
Georgia,1870,9.403.634
Germany,1870,19.321.979
Greece,1870,5.490.178
Greenland,1870,0
Guinea,1870,0
High-income countries,1870,15.583.186
Hungary,1870,35.918.042
Italy,1870,9.653.522
Japan,1870,5.297.938
Kazakhstan,1870,80.380.745
Kyrgyzstan,1870,26.534.665
Latvia,1870,19.334.918
Lithuania,1870,24.735.682
Low-income countries,1870,0
Lower-middle-income countries,1870,21.467.116
Mauritania,1870,0
Moldova,1870,35.444.885
Netherlands,1870,13.674.717
North America,1870,1.681.214
North America (excl. USA),1870,6.280.327
Norway,1870,36.228.594
Oceania,1870,42.452.997
Papua New Guinea,1870,0
Poland,1870,9.934.912
Portugal,1870,50.872.993
Romania,1870,3.994.305
Russia,1870,47.834.963
Sierra Leone,1870,0
Singapore,1870,0
Slovakia,1870,6.071.216
Spain,1870,18.968.914
Sweden,1870,32.166.725
Switzerland,1870,3.380.895
Tajikistan,1870,17.267.358
Turkey,1870,13.394.371
Turkmenistan,1870,55.962.354
Tuvalu,1870,0
Ukraine,1870,42.317.133
United Kingdom,1870,7.273.863
United States,1870,24.715.502
Upper-middle-income countries,1870,5.922.949
Uzbekistan,1870,3.343.118
World,1870,39.751.005
Africa,1871,0
Andorra,1871,0
Armenia,1871,17.481.146
Asia,1871,11.063.914
Asia (excl. China and India),1871,44.192.844
Australia,1871,7.992.716
Austria,1871,22.218.096
Azerbaijan,1871,48.113.603
Belarus,1871,38.533.896
Belgium,1871,46.193.104
Bhutan,1871,0
Brunei,1871,0
Canada,1871,46.724.626
Cote d'Ivoire,1871,0
Czechia,1871,68.673.205
Denmark,1871,6.224.686
Estonia,1871,8.570.155
Europe,1871,14.248.694
Europe (excl. EU-27),1871,21.862.395
Europe (excl. EU-28),1871,7.496.144
European Union (27),1871,1.011.636
European Union (28),1871,18.834.049
Finland,1871,6.359.633
France,1871,13.137.927
Georgia,1871,12.580.039
Germany,1871,21.301.944
Greece,1871,8.005.561
Guinea,1871,0
High-income countries,1871,16.388.354
Hungary,1871,44.272.155
Italy,1871,82.708.955
Japan,1871,7.375.793
Kazakhstan,1871,10.757.081
Kyrgyzstan,1871,35.499.115
Latvia,1871,25.687.387
Lithuania,1871,329.066
Low-income countries,1871,0
Lower-middle-income countries,1871,2.887.371
Mauritania,1871,0
Moldova,1871,47.413.435
Netherlands,1871,13.636.847
North America,1871,17.326.753
North America (excl. USA),1871,90.506.256
Norway,1871,34.843.832
Oceania,1871,43.425.167
Papua New Guinea,1871,0
Poland,1871,11.153.967
Portugal,1871,8.420.395
Romania,1871,43.656.896
Russia,1871,64.069.994
Sierra Leone,1871,0
Singapore,1871,0
Slovakia,1871,6.629.712
Spain,1871,18.063.703
Sweden,1871,3.405.428
Switzerland,1871,41.552.633
Tajikistan,1871,2.310.438
Turkey,1871,16.742.634
Turkmenistan,1871,7.486.739
Tuvalu,1871,0
Ukraine,1871,56.601.565
United Kingdom,1871,76.345.577
United States,1871,2.524.375
Upper-middle-income countries,1871,7.948.016
Uzbekistan,1871,4.473.659
World,1871,4.210.403
Africa,1872,0
Andorra,1872,0
Armenia,1872,1.778.098
Asia,1872,11.931.447
Asia (excl. China and India),1872,47.484.464
Australia,1872,8.875.412
Austria,1872,21.736.574
Azerbaijan,1872,4.888.787
Belarus,1872,39.185.364
Belgium,1872,4.943.798
Bhutan,1872,0
Brunei,1872,0
Canada,1872,47.791.365
Cote d'Ivoire,1872,0
Czechia,1872,74.183.124
Denmark,1872,59.157.795
Estonia,1872,869.334
Europe,1872,15.271.469
Europe (excl. EU-27),1872,22.825.065
Europe (excl. EU-28),1872,7.825.306
European Union (27),1872,11.163.074
European Union (28),1872,20.201.006
Finland,1872,50.645.508
France,1872,15.900.015
Georgia,1872,12.798.601
Germany,1872,22.750.201
Greece,1872,46.961.855
Guinea,1872,0
High-income countries,1872,179.849
Hungary,1872,4.677.426
Italy,1872,105.997.294
Japan,1872,9.424.727
Kazakhstan,1872,10.947.139
Kyrgyzstan,1872,36.112.867
Latvia,1872,25.950.842
Lithuania,1872,332.895
Low-income countries,1872,0
Lower-middle-income countries,1872,29.543.568
Mauritania,1872,0
Moldova,1872,48.230.365
Netherlands,1872,14.444.301
North America,1872,20.798.836
North America (excl. USA),1872,9.287.969
Norway,1872,36.982.825
Oceania,1872,483.866
Papua New Guinea,1872,0
Poland,1872,1.195.611
Portugal,1872,11.878.141
Romania,1872,43.384.777
Russia,1872,6.518.379
Sierra Leone,1872,0
Singapore,1872,0
Slovakia,1872,7.180.656
Spain,1872,1.996.796
Sweden,1872,40.300.417
Switzerland,1872,47.416.753
Tajikistan,1872,23.509.208
Turkey,1872,20.664.895
Turkmenistan,1872,7.616.642
Tuvalu,1872,0
Ukraine,1872,57.571.203
United Kingdom,1872,7.967.353
United States,1872,30.265.274
Upper-middle-income countries,1872,82.105.575
Uzbekistan,1872,4.552.402
World,1872,463.626
Africa,1873,0
Andorra,1873,0
Armenia,1873,16.534.824
Asia,1873,1.137.388
Asia (excl. China and India),1873,4.513.372
Australia,1873,10.250.846
Austria,1873,2.309.749
Azerbaijan,1873,45.413.915
Belarus,1873,36.429.394
Belgium,1873,5.385.137
Bhutan,1873,0
Brunei,1873,0
Canada,1873,41.031.522
Cote d'Ivoire,1873,0
Czechia,1873,79.656.863
Denmark,1873,5.914.867
Estonia,1873,8.062.011
Europe,1873,15.945.331
Europe (excl. EU-27),1873,23.426.843
Europe (excl. EU-28),1873,7.382.251
European Union (27),1873,11.867.629
European Union (28),1873,2.112.698
Finland,1873,47.875.397
France,1873,171.633
Georgia,1873,11.903.768
Germany,1873,24.034.545
Greece,1873,51.320.676
Guinea,1873,0
High-income countries,1873,1.895.393
Hungary,1873,48.526.078
Italy,1873,9.814.545
Japan,1873,11.441.378
Kazakhstan,1873,10.184.951
Kyrgyzstan,1873,3.358.721
Latvia,1873,23.968.687
Lithuania,1873,3.078.845
Low-income countries,1873,0
Lower-middle-income countries,1873,2.764.667
Mauritania,1873,0
Moldova,1873,4.485.305
Netherlands,1873,13.771.598
North America,1873,22.469.976
North America (excl. USA),1873,79.896.934
Norway,1873,3.681.372
Oceania,1873,56.044.054
Papua New Guinea,1873,0
Poland,1873,12.761.083
Portugal,1873,16.458.248
Romania,1873,47.040.894
Russia,1873,60.628.366
Sierra Leone,1873,0
Singapore,1873,0
Slovakia,1873,77.309.674
Spain,1873,19.128.822
Sweden,1873,4.052.267
Switzerland,1873,45.748.076
Tajikistan,1873,21.869.736
Turkey,1873,19.932.155
Turkmenistan,1873,70.839.584
Tuvalu,1873,0
Ukraine,1873,5.353.445
United Kingdom,1873,8.189.286
United States,1873,32.694.678
Upper-middle-income countries,1873,76.822.485
Uzbekistan,1873,4.235.173
World,1873,4.899.655
Africa,1874,0
Andorra,1874,0
Armenia,1874,19.886.058
Asia,1874,19.918.024
Asia (excl. China and India),1874,7.881.024
Australia,1874,11.051.006
Austria,1874,19.530.367
Azerbaijan,1874,54.558.866
Belarus,1874,43.799.862
Belgium,1874,4.924.213
Bhutan,1874,0
Brunei,1874,0
Canada,1874,408.123
Cote d'Ivoire,1874,0
Czechia,1874,85.059.315
Denmark,1874,6.323.806
Estonia,1874,96.690.685
Europe,1874,1.467.215
Europe (excl. EU-27),1874,2.265.854
Europe (excl. EU-28),1874,8.502.852
European Union (27),1874,10.310.243
European Union (28),1874,193.888
Finland,1874,6.678.518
France,1874,16.306.893
Georgia,1874,14.318.719
Germany,1874,17.304.846
Greece,1874,3.929.279
Guinea,1874,0
High-income countries,1874,17.550.961
Hungary,1874,42.315.292
Italy,1874,10.561.151
Japan,1874,16.529.704
Kazakhstan,1874,12.254.756
Kyrgyzstan,1874,40.398.818
Latvia,1874,28.629.927
Lithuania,1874,36.826.182
Low-income countries,1874,0
Lower-middle-income countries,1874,33.458.297
Mauritania,1874,0
Moldova,1874,5.394.463
Netherlands,1874,1.255.897
North America,1874,21.233.013
North America (excl. USA),1874,79.620.846
Norway,1874,45.147.362
Oceania,1874,6.057.521
Papua New Guinea,1874,0
Poland,1874,13.780.894
Portugal,1874,11.976.907
Romania,1874,46.754.694
Russia,1874,7.292.909
Sierra Leone,1874,0
Singapore,1874,0
Slovakia,1874,8.277.216
Spain,1874,18.941.519
Sweden,1874,43.278.047
Switzerland,1874,42.889.434
Tajikistan,1874,26.310.699
Turkey,1874,21.341.328
Turkmenistan,1874,8.520.941
Tuvalu,1874,0
Ukraine,1874,6.437.991
United Kingdom,1874,78.809.423
United States,1874,30.782.638
Upper-middle-income countries,1874,9.215.281
Uzbekistan,1874,50.955.277
World,1874,45.645.648
Africa,1875,0
Andorra,1875,0
Armenia,1875,22.677.908
Asia,1875,32.844.257
Asia (excl. China and India),1875,12.957.095
Australia,1875,10.907.334
Austria,1875,16.621.472
Azerbaijan,1875,62.152.084
Belarus,1875,499.354
Belgium,1875,5.074.682
Bhutan,1875,0
Brunei,1875,0
Canada,1875,4.649.344
Cote d'Ivoire,1875,0
Czechia,1875,90.391.165
Denmark,1875,735.234
Estonia,1875,10.996.314
Europe,1875,16.062.756
Europe (excl. EU-27),1875,2.376.004
Europe (excl. EU-28),1875,9.722.086
European Union (27),1875,11.850.109
European Union (28),1875,21.219.923
Finland,1875,44.486.605
France,1875,16.966.279
Georgia,1875,16.331.896
Germany,1875,24.273.689
Greece,1875,42.682.916
Guinea,1875,0
High-income countries,1875,18.850.116
Hungary,1875,43.346.158
Italy,1875,107.471.436
Japan,1875,40.327.102
Kazakhstan,1875,13.981.986
Kyrgyzstan,1875,46.076.223
Latvia,1875,3.242.711
Lithuania,1875,4.176.744
Low-income countries,1875,0
Lower-middle-income countries,1875,38.395.026
Mauritania,1875,0
Moldova,1875,61.520.673
Netherlands,1875,14.193.223
North America,1875,21.091.526
North America (excl. USA),1875,9.087.261
Norway,1875,5.611.456
Oceania,1875,59.927.016
Papua New Guinea,1875,0
Poland,1875,1.333.415
Portugal,1875,2.618.337
Romania,1875,5.034.275
Russia,1875,8.318.462
Sierra Leone,1875,0
Singapore,1875,0
Slovakia,1875,88.194.185
Spain,1875,19.908.215
Sweden,1875,5.210.333
Switzerland,1875,46.611.035
Tajikistan,1875,3.001.526
Turkey,1875,29.098.937
Turkmenistan,1875,9.718.731
Tuvalu,1875,0
Ukraine,1875,73.415
United Kingdom,1875,8.238.478
United States,1875,30.432.105
Upper-middle-income countries,1875,10.660.467
Uzbekistan,1875,58.133.375
World,1875,4.924.599
Africa,1876,0
Andorra,1876,0
Armenia,1876,27.897.015
Asia,1876,340.323
Asia (excl. China and India),1876,13.386.043
Australia,1876,10.756.459
Austria,1876,16.957.643
Azerbaijan,1876,763.729
Belarus,1876,6.140.947
Belgium,1876,49.183.083
Bhutan,1876,0
Brunei,1876,0
Canada,1876,45.379.946
Cote d'Ivoire,1876,0
Czechia,1876,15.527.151
Denmark,1876,7.701.726
Estonia,1876,13.489.431
Europe,1876,16.309.651
Europe (excl. EU-27),1876,23.632.762
Europe (excl. EU-28),1876,11.423.696
European Union (27),1876,12.293.618
European Union (28),1876,215.006
Finland,1876,4.951.933
France,1876,16.970.373
Georgia,1876,2.009.355
Germany,1876,2.446.672
Guinea,1876,0
High-income countries,1876,1.890.203
Hungary,1876,45.203.578
Italy,1876,14.314.722
Japan,1876,3.903.576
Kazakhstan,1876,17.207.709
Kyrgyzstan,1876,5.668.539
Latvia,1876,39.618.522
Lithuania,1876,51.099.185
Low-income countries,1876,0
Lower-middle-income countries,1876,475.257
Mauritania,1876,0
Moldova,1876,75.680.666
Netherlands,1876,16.083.318
North America,1876,20.248.048
North America (excl. USA),1876,8.885.743
Norway,1876,49.000.984
Oceania,1876,5.922.023
Papua New Guinea,1876,0
Poland,1876,13.427.811
Portugal,1876,25.529.215
Romania,1876,50.036.456
Russia,1876,10.234.707
Sierra Leone,1876,0
Singapore,1876,0
Slovakia,1876,15.189.995
Spain,1876,21.507.293
Sweden,1876,5.510.797
Switzerland,1876,5.412.863
Tajikistan,1876,3.693.563
Turkey,1876,22.602.146
Turkmenistan,1876,11.957.103
Tuvalu,1876,0
Ukraine,1876,9.030.443
United Kingdom,1876,8.144.492
United States,1876,2.912.211
Upper-middle-income countries,1876,12.860.342
Uzbekistan,1876,7.154.046
World,1876,49.678.734
Africa,1877,0
Andorra,1877,0
Armenia,1877,28.207.704
Asia,1877,34.918.569
Asia (excl. China and India),1877,13.695.478
Australia,1877,11.575.869
Austria,1877,15.132.375
Azerbaijan,1877,7.714.319
Belarus,1877,62.077.563
Belgium,1877,46.426.272
Bhutan,1877,0
Brunei,1877,0
Canada,1877,48.700.067
Cote d'Ivoire,1877,0
Czechia,1877,16.212.517
Denmark,1877,75.363.845
Estonia,1877,13.602.373
Europe,1877,1.614.677
Europe (excl. EU-27),1877,2.385.683
Europe (excl. EU-28),1877,117.735.736
European Union (27),1877,11.909.996
European Union (28),1877,21.277.392
Finland,1877,58.138.426
France,1877,16.577.271
Georgia,1877,20.321.086
Germany,1877,2.370.372
Guinea,1877,0
High-income countries,1877,19.093.812
Hungary,1877,46.979.403
Italy,1877,1.318.209
Japan,1877,35.634.115
Kazakhstan,1877,17.407.982
Kyrgyzstan,1877,57.325.106
Latvia,1877,397.878
Lithuania,1877,51.387.608
Low-income countries,1877,0
Lower-middle-income countries,1877,48.355.544
Mauritania,1877,0
Moldova,1877,7.652.774
Netherlands,1877,16.155.936
North America,1877,22.004.385
North America (excl. USA),1877,9.552.803
Norway,1877,6.539.466
Oceania,1877,63.846.064
Papua New Guinea,1877,0
Poland,1877,12.447.325
Portugal,1877,14.832.091
Romania,1877,4.973.203
Russia,1877,10.350.918
Sierra Leone,1877,0
Singapore,1877,0
Slovakia,1877,15.902.592
Spain,1877,22.697.459
Sweden,1877,57.804.954
Switzerland,1877,5.100.133
Tajikistan,1877,37.360.583
Turkey,1877,3.655.366
Turkmenistan,1877,12.092.365
Tuvalu,1877,0
Ukraine,1877,9.130.713
United Kingdom,1877,8.210.754
United States,1877,31.561.265
Upper-middle-income countries,1877,13.372.573
Uzbekistan,1877,7.236.831
World,1877,5.038.972
Africa,1878,0
Andorra,1878,0
Armenia,1878,3.652.492
Asia,1878,6.574.597
Asia (excl. China and India),1878,17.389.823
Australia,1878,12.239.833
Austria,1878,14.907.401
Azerbaijan,1878,9.978.511
Belarus,1878,8.036.048
Belgium,1878,5.006.211
Bhutan,1878,0
Brunei,1878,0
Canada,1878,45.915.452
Cote d'Ivoire,1878,0
Czechia,1878,16.888.715
Denmark,1878,7.086.475
Estonia,1878,17.564.885
Europe,1878,16.190.834
Europe (excl. EU-27),1878,23.407.073
Europe (excl. EU-28),1878,1.409.728
European Union (27),1878,12.217.487
European Union (28),1878,2.126.415
Finland,1878,6.463.531
France,1878,16.892.104
Georgia,1878,26.317.671
Germany,1878,24.199.347
Guinea,1878,0
High-income countries,1878,18.950.697
Hungary,1878,4.654.046
India,1878,69.541.484
Italy,1878,13.046.588
Japan,1878,50.978.925
Kazakhstan,1878,22.551.979
Kyrgyzstan,1878,7.423.908
Latvia,1878,51.169.842
Lithuania,1878,6.617.783
Low-income countries,1878,0
Lower-middle-income countries,1878,104.687.745
Mauritania,1878,0
Moldova,1878,990.977
Netherlands,1878,16.929.923
New Zealand,1878,7.658.153
North America,1878,21.099.014
North America (excl. USA),1878,9.022.258
Norway,1878,5.773.575
Oceania,1878,7.699.141
Papua New Guinea,1878,0
Poland,1878,12.899.075
Portugal,1878,14.094.433
Romania,1878,4.942.945
Russia,1878,13.405.818
Sierra Leone,1878,0
Singapore,1878,0
Slovakia,1878,16.609.854
Spain,1878,22.453.922
Sweden,1878,48.536.888
Switzerland,1878,48.436.847
Tajikistan,1878,48.394.185
Turkey,1878,26.512.068
Turkmenistan,1878,15.660.423
Tuvalu,1878,0
Ukraine,1878,11.822.549
United Kingdom,1878,79.860.015
United States,1878,30.182.126
Upper-middle-income countries,1878,16.903.162
Uzbekistan,1878,9.374.678
World,1878,50.514.203
Africa,1879,0
Andorra,1879,0
Armenia,1879,3.713.264
Asia,1879,68.074.726
Asia (excl. China and India),1879,18.669.933
Australia,1879,12.026.532
Austria,1879,18.087.848
Azerbaijan,1879,1.013.394
Belarus,1879,816.761
Belgium,1879,5.053.703
Bhutan,1879,0
Brunei,1879,0
Canada,1879,5.112.118
Cote d'Ivoire,1879,0
Czechia,1879,18.035.742
Denmark,1879,79.237.485
Estonia,1879,17.808.205
Europe,1879,16.583.073
Europe (excl. EU-27),1879,2.336.562
Europe (excl. EU-28),1879,14.430.472
European Union (27),1879,12.841.481
European Union (28),1879,2.178.723
Finland,1879,38.195.748
France,1879,17.456.038
Georgia,1879,26.760.692
Germany,1879,2.538.891
Greece,1879,9.101.098
Guinea,1879,0
High-income countries,1879,20.129.268
Hungary,1879,4.616.391
India,1879,661.162
Italy,1879,14.930.338
Japan,1879,63.095.115
Kazakhstan,1879,22.938.469
Kyrgyzstan,1879,7.548.428
Latvia,1879,5.166.841
Lithuania,1879,6.691.351
Low-income countries,1879,0
Lower-middle-income countries,1879,10.396.254
Mauritania,1879,0
Moldova,1879,10.075.196
Netherlands,1879,18.050.797
New Zealand,1879,103.573
North America,1879,25.212.517
North America (excl. USA),1879,10.057.327
Norway,1879,6.011.349
Oceania,1879,797.371
Papua New Guinea,1879,0
Poland,1879,13.834.292
Portugal,1879,15.438.981
Romania,1879,49.128.723
Russia,1879,13.631.733
Sierra Leone,1879,0
Singapore,1879,0
Slovakia,1879,17.785.043
Spain,1879,23.646.264
Sweden,1879,48.859.793
Switzerland,1879,51.395.345
Tajikistan,1879,49.216.665
Turkey,1879,10.069.667
Turkmenistan,1879,15.923.703
Tuvalu,1879,0
Ukraine,1879,12.018.794
United Kingdom,1879,79.602.866
United States,1879,35.994.267
Upper-middle-income countries,1879,16.862.618
Uzbekistan,1879,9.534.738
World,1879,5.378.026
Africa,1880,0
Andorra,1880,0
Armenia,1880,43.160.364
Asia,1880,7.398.662
Asia (excl. China and India),1880,20.016.758
Australia,1880,10.981.691
Austria,1880,47.833.023
Azerbaijan,1880,11.766.235
Belarus,1880,9.490.656
Belgium,1880,54.959.188
Bhutan,1880,0
Brunei,1880,0
Canada,1880,1.208.935
Cote d'Ivoire,1880,0
Czechia,1880,18.988.514
Denmark,1880,89.376.026
Estonia,1880,20.641.704
Europe,1880,18.508.594
Europe (excl. EU-27),1880,25.310.147
Europe (excl. EU-28),1880,16.641.738
European Union (27),1880,14.749.593
European Union (28),1880,24.308.014
Finland,1880,48.377.797
France,1880,19.661.164
Georgia,1880,31.109.205
Germany,1880,28.224.943
Greenland,1880,0
Guinea,1880,0
High-income countries,1880,22.505.546
Hungary,1880,53.001.606
India,1880,7.376.274
Ireland,1880,68.331.145
Italy,1880,17.261.681
Japan,1880,63.514.106
Kazakhstan,1880,266.743
Kyrgyzstan,1880,8.774.644
Latvia,1880,59.645.656
Lithuania,1880,7.735.037
Low-income countries,1880,0
Lower-middle-income countries,1880,11.925.762
Mauritania,1880,0
Moldova,1880,117.109.455
Netherlands,1880,19.733.121
New Zealand,1880,12.859.569
North America,1880,2.837.507
North America (excl. USA),1880,23.760.848
Norway,1880,6.519.781
Oceania,1880,76.770.693
Papua New Guinea,1880,0
Poland,1880,13.558.813
Portugal,1880,1.905.984
Romania,1880,48.829.815
Russia,1880,15.847.385
Sierra Leone,1880,0
Singapore,1880,0
Slovakia,1880,18.774.287
Spain,1880,26.168.555
Sweden,1880,6.198.969
Switzerland,1880,5.900.532
Tajikistan,1880,5.722.523
Turkey,1880,11.189.287
Turkmenistan,1880,18.511.029
Tuvalu,1880,0
Ukraine,1880,13.968.812
United Kingdom,1880,859.724
United States,1880,3.986.088
Upper-middle-income countries,1880,1.966.484
Uzbekistan,1880,11.086.868
World,1880,6.031.159
Africa,1881,0
Andorra,1881,0
Armenia,1881,45.041.647
Asia,1881,7.553.609
Asia (excl. China and India),1881,2.083.263
Australia,1881,12.815.344
Austria,1881,2.067.934
Azerbaijan,1881,122.661.315
Belarus,1881,9.901.612
Belgium,1881,54.832.616
Bhutan,1881,0
Brunei,1881,0
Bulgaria,1881,12.170.142
Canada,1881,12.759.558
Cote d'Ivoire,1881,0
Czechia,1881,19.934.049
Denmark,1881,9.373.464
Estonia,1881,21.482.009
Europe,1881,18.853.287
Europe (excl. EU-27),1881,26.355.693
Europe (excl. EU-28),1881,17.130.035
European Union (27),1881,14.700.364
European Union (28),1881,24.763.188
Finland,1881,47.667.645
France,1881,2.009.875
Georgia,1881,32.470.785
Germany,1881,3.013.424
Guinea,1881,0
High-income countries,1881,23.066.092
Hungary,1881,56.496.835
India,1881,7.152.246
Ireland,1881,688.605
Italy,1881,20.166.817
Japan,1881,6.478.428
Kazakhstan,1881,27.850.282
Kyrgyzstan,1881,91.583.125
Latvia,1881,6.182.246
Lithuania,1881,8.028.182
Low-income countries,1881,0
Lower-middle-income countries,1881,12.141.226
Mauritania,1881,0
Moldova,1881,12.221.915
Netherlands,1881,19.644.061
New Zealand,1881,13.912.926
North America,1881,29.463.358
North America (excl. USA),1881,25.102.964
Norway,1881,67.056.686
Oceania,1881,90.166.235
Papua New Guinea,1881,0
Poland,1881,13.299.598
Portugal,1881,19.149.476
Romania,1881,52.266.014
Russia,1881,16.541.381
Sierra Leone,1881,0
Singapore,1881,0
Slovakia,1881,1.975.617
Spain,1881,29.093.248
Sweden,1881,59.917.504
Switzerland,1881,54.979.306
